"Nr";"Priorität";"Dokument";"Bereich";"Feld / Task";"Was ist zu tun";"Hinweis"
"166";"Mittel";"Production";"PDF/View";"PDF-Rendering";"Daten in der View-Payload ergänzen: Lagerbestände je Lagerplatz/Regal inkl. MHD-/Chargen-Sortierung";"Aus der Legacy-PDF-Analyse (Produktionsauftrag)"
"167";"Mittel";"Production";"PDF/View";"PDF-Rendering";"Daten in der View-Payload ergänzen: Kundenname/-nummer, Bearbeitername, Projekt-Abkürzung, Auftrags-Belegnummer";"Aus der Legacy-PDF-Analyse (Produktionsauftrag)"
"168";"Mittel";"Production";"PDF/View";"PDF-Rendering";"Daten in der View-Payload ergänzen: Interner Kommentar aus dem Produkt-Artikel, Stücklisten-Preise/Steuersätze, Positions-Freifelder";"Aus der Legacy-PDF-Analyse (Produktionsauftrag)"
"169";"Mittel";"Production";"Position";"Positionen anlegen / ändern / löschen";"In Create + Update ergänzen (setzt neuen PATCH-Endpoint voraus)";"Keine LineItem-Endpoints für Production — Stückliste per API unantastbar!"
"170";"Mittel";"Production";"Kopf";"preferredWarehouse";"In Update ergänzen (setzt neuen PATCH-Endpoint voraus)";"UI „Standardlager“"
"171";"Mittel";"Production";"Kopf";"printSettings.showTaskDescription";"In Update ergänzen (setzt neuen PATCH-Endpoint voraus)";"Arbeitsschritte-Text anzeigen"
"172";"Mittel";"Production";"Kopf";"productionEndDate";"In Update ergänzen (setzt neuen PATCH-Endpoint voraus)";""
"173";"Mittel";"Production";"Kopf";"productionStartDate";"In Update ergänzen (setzt neuen PATCH-Endpoint voraus)";"Kandidat für externe Planungsalgorithmen — nach Create nicht mehr verschiebbar!"
"174";"Mittel";"Production";"Kopf";"project";"In Update ergänzen (setzt neuen PATCH-Endpoint voraus)";""
"175";"Mittel";"Production";"Kopf";"recordSubSerialNumbers";"In Update ergänzen (setzt neuen PATCH-Endpoint voraus)";""
"176";"Mittel";"Production";"Kopf";"resolveMultiLevelBOM";"In Update ergänzen (setzt neuen PATCH-Endpoint voraus)";"Unterlisten explodieren"
"177";"Mittel";"Production";"Kopf";"salesOrder";"In Update ergänzen (setzt neuen PATCH-Endpoint voraus)";"Filter salesOrder.id"
"178";"Mittel";"Production";"Kopf";"stockProvisioningDate";"In Update ergänzen (setzt neuen PATCH-Endpoint voraus)";"Bereitstellung"
"179";"Mittel";"Production";"Kopf";"stockRetrievalDate";"In Update ergänzen (setzt neuen PATCH-Endpoint voraus)";"Auslieferung Lager"
"180";"Mittel";"Production";"Kopf";"tags";"In Update ergänzen (setzt neuen PATCH-Endpoint voraus)";""
"181";"Mittel";"ProformaInvoice";"Kopf";"addCustomsInformation";"In Create + Update ergänzen";"Zolltarifnr./Ursprungsland je Position ausgeben"
"182";"Mittel";"ProformaInvoice";"Kopf";"address (Kunde)";"In Update ergänzen";"Create: Pflichtfeld; Partnerwechsel per UI möglich, per API nicht; Filter address.id"
"183";"Mittel";"ProformaInvoice";"Position";"customerProductNumber";"In Update ergänzen";"Nur im Create"
"184";"Mittel";"ProformaInvoice";"Kopf";"customsInformation";"In Create + Update ergänzen";"Verzollungstext"
"185";"Mittel";"ProformaInvoice";"Kopf";"deliveryNote (Referenz)";"Im View lesbar machen (Headless-Anforderung)";"PDF zeigt LS-Nummer/-Datum + SN/Chargen aus dem Ursprungs-LS — Referenz fehlt im View komplett"
"186";"Mittel";"ProformaInvoice";"Kopf";"deviatingCustomsToAddress";"In Create + Update ergänzen";"Verzollungsadresse — im View + UI, per API nicht setzbar"
"187";"Mittel";"ProformaInvoice";"Kopf";"deviatingShipToAddress";"In Create + Update ergänzen";"Im View + UI editierbar — per API nicht setzbar"
"188";"Mittel";"ProformaInvoice";"Kopf";"financials.tax.disableTaxNotice";"In Create + Update ergänzen";"UI „kein Steuersatz“"
"189";"Mittel";"ProformaInvoice";"Position";"Gewicht je Position";"In View + Create + Update aufnehmen";"Fehlt komplett — PDF-Zollblock und Headless brauchen es"
"190";"Mittel";"ProformaInvoice";"PDF/View";"PDF-Rendering";"Daten in der View-Payload ergänzen: Gewicht je Position (× Menge, „Weight:""-Text) — Kern des Zollblocks, fehlt komplett";"Aus der Legacy-PDF-Analyse (Proformarechnung)"
"191";"Mittel";"ProformaInvoice";"PDF/View";"PDF-Rendering";"Daten in der View-Payload ergänzen: Artikel-Fallback für hsCode/countryOfOrigin (PDF nutzt Artikel-Stammwert bei leerer Position)";"Aus der Legacy-PDF-Analyse (Proformarechnung)"
"192";"Mittel";"ProformaInvoice";"PDF/View";"PDF-Rendering";"Daten in der View-Payload ergänzen: Positionssummen (keine itemRevenue) + Steuerbetrag je Satz";"Aus der Legacy-PDF-Analyse (Proformarechnung)"
"193";"Mittel";"ProformaInvoice";"PDF/View";"PDF-Rendering";"Daten in der View-Payload ergänzen: SN/Chargen aus dem Ursprungs-Lieferschein + dessen Belegnummer/Datum + Trackingnummer";"Aus der Legacy-PDF-Analyse (Proformarechnung)"
"194";"Mittel";"ProformaInvoice";"PDF/View";"PDF-Rendering";"Daten in der View-Payload ergänzen: Verzollungs-Land-Override-Logik, berechneter Zahlungs-/Skontotext, Buchhaltungs-Ansprechpartner, Rabattstaffeln je Position";"Aus der Legacy-PDF-Analyse (Proformarechnung)"
"195";"Mittel";"ProformaInvoice";"Position";"Positionssummen (itemRevenue …)";"Im View lesbar machen (Headless-Anforderung)";"Fehlen im View — für Headless-UIs und Summenblock nötig"
"196";"Mittel";"ProformaInvoice";"Position";"printSettings.hidden";"In Create + Update ergänzen";"Im View, aber nicht schreibbar (kein Trait)"
"197";"Mittel";"ProformaInvoice";"Kopf";"salesOrder";"In Update ergänzen";"Create ja, Update fehlt; Filter salesOrder.id"
"198";"Mittel";"PurchaseOrder";"Kopf";"address (Lieferant)";"In Update ergänzen";"Create: Pflichtfeld; Partnerwechsel per UI möglich, per API nicht; Filter address.id"
"199";"Mittel";"PurchaseOrder";"Kopf";"customerNumberAtSupplier";"In View + Create + Update aufnehmen";"UI „Kundennummer“ (kundennummerlieferant) — PDF-Kopfzeile „Unsere Kundennummer“, im V3 komplett abwesend"
"200";"Mittel";"PurchaseOrder";"Kopf";"deviatingShipToAddress";"In Create + Update ergänzen";"Im View + UI voll editierbar — per API überhaupt nicht setzbar!"
"201";"Mittel";"PurchaseOrder";"Position";"discount";"Im View lesbar machen (Headless-Anforderung)";"Weder lesbar noch schreibbar — Legacy-Spalte bestellung_position.rabatt existiert"
"202";"Mittel";"PurchaseOrder";"Kopf";"isConfirmed";"In Create + Update ergänzen";"UI „Bestellung bestätigt“ — Kandidat für Lieferantenportal-/OCR-Prozesse"
"203";"Mittel";"PurchaseOrder";"PDF/View";"PDF-Rendering";"Daten in der View-Payload ergänzen: Positionssummen (nur price.net Einzelpreis, keine lineItemRevenue) + Steuerbetrag je Satz → Summenblock selbst berechnen";"Aus der Legacy-PDF-Analyse (Bestellung)"
"204";"Mittel";"PurchaseOrder";"PDF/View";"PDF-Rendering";"Daten in der View-Payload ergänzen: „Unsere Kundennummer beim Lieferanten"" (kundennummerlieferant) + Einkäufer-Name — Infobox-Zeilen";"Aus der Legacy-PDF-Analyse (Bestellung)"
"205";"Mittel";"PurchaseOrder";"PDF/View";"PDF-Rendering";"Daten in der View-Payload ergänzen: Artikelnummer-Beimischung in Beschreibung (artikelnummerninfotext), VPE-Umrechnungslogik, Währung je Position";"Aus der Legacy-PDF-Analyse (Bestellung)"
"206";"Mittel";"PurchaseOrder";"PDF/View";"PDF-Rendering";"Daten in der View-Payload ergänzen: EAN/Hersteller/Herstellernummer, Positions-Freifelder 1–40";"Aus der Legacy-PDF-Analyse (Bestellung)"
"207";"Mittel";"PurchaseOrder";"PDF/View";"PDF-Rendering";"Daten in der View-Payload ergänzen: Bestellbestätigungs-Fußtext, Titel-Override, corr-Block „suppliers_order""";"Aus der Legacy-PDF-Analyse (Bestellung)"
"208";"Mittel";"PurchaseOrder";"Position";"Positionssummen (itemRevenue …)";"Im View lesbar machen (Headless-Anforderung)";"Fehlen im View — für Headless-UIs und Summenblock nötig"
"209";"Mittel";"PurchaseOrder";"Kopf";"printSettings.isConfirmationRequestVisible";"In Create + Update ergänzen";"UI „Bestellbestätigung anfordern“"
"210";"Mittel";"PurchaseOrder";"Kopf";"supplierOrderNumber";"In Create + Update ergänzen";"AB-Nummer des Lieferanten — Standard-Suchbegriff im Einkauf"
"211";"Mittel";"ReturnOrder";"Kopf";"address (Kunde)";"In Update ergänzen";"Create: Pflichtfeld; Partnerwechsel per UI möglich, per API nicht; Filter address.id"
"212";"Mittel";"ReturnOrder";"Position";"customerProductNumber";"In Update ergänzen";"Nur im Create — Update fehlt"
"213";"Mittel";"ReturnOrder";"PDF/View";"PDF-Rendering";"Daten in der View-Payload ergänzen: Ursprungs-Lieferschein: Belegnummer UND Datum (deliveryNote nur ID)";"Aus der Legacy-PDF-Analyse (Retoure)"
"214";"Mittel";"ReturnOrder";"PDF/View";"PDF-Rendering";"Daten in der View-Payload ergänzen: Auftrags-Belegnummer, Trackingnummer (versand-Tabelle, Feld retoure)";"Aus der Legacy-PDF-Analyse (Retoure)"
"215";"Mittel";"ReturnOrder";"PDF/View";"PDF-Rendering";"Daten in der View-Payload ergänzen: Wie beim Lieferschein: SN/Charge/MHD, Hersteller(-nummer), EAN, Lagertext, Positions-Freifelder";"Aus der Legacy-PDF-Analyse (Retoure)"
"216";"Mittel";"ReturnOrder";"PDF/View";"PDF-Rendering";"Daten in der View-Payload ergänzen: Bearbeiter-/Ansprechpartner-Kontakte, Titel-Override „Retoureersatz""";"Aus der Legacy-PDF-Analyse (Retoure)"
"217";"Mittel";"ReturnOrder";"Kopf";"preferredWarehouse";"In Create + Update ergänzen";"UI „Standardlager“ + Filter — fehlt in Create/Update"
"218";"Mittel";"ReturnOrder";"Position";"Produkt-Stammdaten via Include (EAN, Gewicht, Abmessung, Hersteller)";"Im View lesbar machen (Headless-Anforderung)";"ProductResource ist „slim“ (nur id + number) — für Headless-UIs und PDF-Rendering nötig"
"219";"Mittel";"SalesOrder";"Kopf";"address (Kunde)";"In Update ergänzen";"Create: Pflichtfeld; Partnerwechsel per UI möglich, per API nicht; Filter address.id"
"220";"Mittel";"SalesOrder";"Kopf";"autoDispatch";"In Create + Update ergänzen";"UI „Autoversand“ — Kandidat für externe Automatisierungs-Algorithmen"
"221";"Mittel";"SalesOrder";"Kopf";"createDocuments";"In Create + Update ergänzen";"Belegerzeugung beim Autoversand"
"222";"Mittel";"SalesOrder";"Position";"customerProductNumber";"In Update ergänzen";"Nur im Create — Update fehlt"
"223";"Mittel";"SalesOrder";"Position";"desiredQualityControlAttributes (bestBeforeDate, batch)";"In Create + Update ergänzen";"Wunsch-Charge/MHD — nur lesbar"
"224";"Mittel";"SalesOrder";"Kopf";"disableCancellationEmail";"In Create + Update ergänzen";""
"225";"Mittel";"SalesOrder";"Kopf";"disablePaymentEmail";"In Create + Update ergänzen";""
"226";"Mittel";"SalesOrder";"Kopf";"disableTrackingEmail";"In Create + Update ergänzen";""
"227";"Mittel";"SalesOrder";"Kopf";"earliestFulfillmentDate";"In Create + Update ergänzen";"UI „Liefertermin“"
"228";"Mittel";"SalesOrder";"Kopf";"fastLane";"In Create + Update ergänzen";"Kandidat für externe Priorisierungs-Algorithmen"
"229";"Mittel";"SalesOrder";"Kopf";"financials.tax.disableTaxNotice";"In Create + Update ergänzen";"UI „kein Steuersatz“"
"230";"Mittel";"SalesOrder";"Kopf";"manualDeliveryBlockApproval";"In Create + Update ergänzen";"„Lieferung trotz Sperre“ — Kandidat für externe Fraud-/Bonitätslogik"
"231";"Mittel";"SalesOrder";"Kopf";"manualPaymentApproval";"In Create + Update ergänzen";"„als vorab bezahlt markieren“ — Kandidat für externe Payment-Abgleiche"
"232";"Mittel";"SalesOrder";"Kopf";"manualShippingCostApproval";"In Create + Update ergänzen";"„kein Porto“"
"233";"Mittel";"SalesOrder";"PDF/View";"PDF-Rendering";"Daten in der View-Payload ergänzen: Referenzierte Angebots-Belegnummer (offer nur als ID) — Kopfzeile „Angebot"" + corr-Block ANGEBOTSNUMMER";"Aus der Legacy-PDF-Analyse (Auftrag)"
"234";"Mittel";"SalesOrder";"PDF/View";"PDF-Rendering";"Daten in der View-Payload ergänzen: Kundennummer-Anzeige-Label + Projekt-Abkürzung (nur project.id)";"Aus der Legacy-PDF-Analyse (Auftrag)"
"235";"Mittel";"SalesOrder";"PDF/View";"PDF-Rendering";"Daten in der View-Payload ergänzen: systemfreitext (an den Fußtext angehängter Systemtext)";"Aus der Legacy-PDF-Analyse (Auftrag)"
"236";"Mittel";"SalesOrder";"PDF/View";"PDF-Rendering";"Daten in der View-Payload ergänzen: Titel-Logik: abweichende Belegbezeichnung + Proforma-Titelvariante (sprachabhängige Beschriftungs-Vorlagen)";"Aus der Legacy-PDF-Analyse (Auftrag)"
"237";"Mittel";"SalesOrder";"PDF/View";"PDF-Rendering";"Daten in der View-Payload ergänzen: EU-/Export-Steuervermerk als fertiger Text (inkl. UStID-Länderkennung), Zahlungsbedingungs-Text mit Platzhaltern";"Aus der Legacy-PDF-Analyse (Auftrag)"
"238";"Mittel";"SalesOrder";"Position";"Produkt-Stammdaten via Include (EAN, Gewicht, Abmessung, Hersteller)";"Im View lesbar machen (Headless-Anforderung)";"ProductResource ist „slim“ (nur id + number) — für Headless-UIs und PDF-Rendering nötig"
"239";"Mittel";"SalesOrder";"Kopf";"reservationDate";"In Create + Update ergänzen";""
"240";"Mittel";"SalesOrder";"Kopf";"vatChecked";"In Create + Update ergänzen";"Blockiert sonst den Versand — Kandidat für externe Compliance-Checks"
"241";"Mittel";"Übergreifend";"View";"Aufgelöste Referenz-Namen";"editor/sales/shippingMethod/paymentMethod/project als {id, name} bzw. mit abbreviation liefern";"PDF-Infobox braucht Namen; heute pro Referenz ein Nachlade-Request"
"242";"Mittel";"Übergreifend";"PDF/View";"PDF-Rendering (Kategorie)";"Referenzierte Belegnummern statt IDs (Infobox + corr-Block drucken Belegnummern verknüpfter Belege)";"Gilt für alle Belege — Details je Tab"
"243";"Mittel";"Übergreifend";"PDF/View";"PDF-Rendering (Kategorie)";"Aufgelöste Namen & Kontaktdaten (Bearbeiter/Vertrieb inkl. E-Mail/Telefon, Zahlungsart-/Versandart-Name, Projekt-Abkürzung, lokalisierte Ländernamen)";"Gilt für alle Belege — Details je Tab"
"244";"Mittel";"Übergreifend";"PDF/View";"PDF-Rendering (Kategorie)";"Firmen-/Briefpapier-Konfiguration (Logo, Briefpapier-PDFs je Projekt/Sprache, Footer-Stammdaten inkl. Bank, GiroCode) — siehe include=letterhead";"Gilt für alle Belege — Details je Tab"
"245";"Mittel";"Übergreifend";"PDF/View";"PDF-Rendering (Kategorie)";"Berechnete Blöcke (Steuerbetrag je Steuersatz, Zwischen-/Gruppensummen-Beträge, Versandkosten-/Zahlartaufschlag-Zeilen, Netto-/Brutto-Logik)";"Gilt für alle Belege — Details je Tab"
"246";"Mittel";"Übergreifend";"PDF/View";"PDF-Rendering (Kategorie)";"Text-Templates & Übersetzungen (Belegtitel je Sprache, Spaltenüberschriften, Zahlungsbedingungs-Texte, EU-/Export-Vermerke, Kopf-/Fußtext-Komposition)";"Gilt für alle Belege — Details je Tab"
"247";"Mittel";"Übergreifend";"PDF/View";"PDF-Rendering (Kategorie)";"Positions-Stammdaten (tatsächliche SN/Chargen/MHD, Gewicht, EAN, Abmessungen, Hersteller, Produkt-Freifelder, Rabattstaffeln)";"Gilt für alle Belege — Details je Tab"
"248";"Mittel";"Übergreifend";"View";"Steuersummen & Zwischensummen";"Steuerbetrag je Steuersatz in totals + Beträge in Subtotal-/GroupTotal-LineItems";"Summenblock des PDFs ist sonst nicht reproduzierbar"
"249";"Mittel";"Übergreifend";"Endpunkt";"V3 Shipments/Tracking";"Versand-/Tracking-Endpunkte nach V3 bringen (heute nur Legacy-v1 /shipments)";"Trackingnummer wird auf LS-/Rechnungs-PDF gedruckt und von Sachbearbeitern gesucht"
"250";"Mittel";"Übergreifend";"Endpunkt";"Warenbuchungsbelege";"GoodsReceipt als V3-Belegtyp einführen";"Heute nur Sub-Aktionen der Legacy-Fulfillment-API"
"251";"Niedrig";"CreditNote";"Kopf";"deviatingDebtorAccountNumber";"In Create + Update ergänzen";"UI „Abw. Debitorennummer“"
"252";"Niedrig";"CreditNote";"Position";"Intermediate-Positionen (heading, subtotal, groupTotal, image, pageBreak)";"In Create + Update ergänzen";"Nur lesbar! V3-Schreibseite kennt ausschließlich Produkt-Positionen — die UI kann Zwischenüberschriften/-summen anlegen"
"253";"Niedrig";"CreditNote";"Kopf";"isCancellationInvoice";"In Create + Update ergänzen";"UI „Stornorechnung“"
"254";"Niedrig";"CreditNote";"Position";"packagingUnit (VPE)";"In Create + Update ergänzen";"Im View, aber in keiner Create/Update-Klasse"
"255";"Niedrig";"DeliveryNote";"Position";"Intermediate-Positionen (heading, subtotal, groupTotal, image, pageBreak)";"In Create + Update ergänzen";"Nur lesbar! V3-Schreibseite kennt ausschließlich Produkt-Positionen — die UI kann Zwischenüberschriften/-summen anlegen"
"256";"Niedrig";"DeliveryNote";"Kopf";"noInvoice";"In View + Create + Update aufnehmen";"UI „keine Rechnung“ — nur als Filter vorhanden, nicht mal im View"
"257";"Niedrig";"DeliveryNote";"Position";"package / packagingUnitQuantity / individualPieceQuantity";"In Create + Update ergänzen";"Packstück-Infos — read-only"
"258";"Niedrig";"DeliveryNote";"Position";"packagingUnit (VPE)";"In Create + Update ergänzen";"Im View, aber in keiner Create/Update-Klasse"
"259";"Niedrig";"DeliveryNote";"Kopf";"useAlternativeDocumentTitle";"In Create + Update ergänzen";""
"260";"Niedrig";"Invoice";"Position";"Intermediate-Positionen (heading, subtotal, groupTotal, image, pageBreak)";"In Create + Update ergänzen";"Nur lesbar! V3-Schreibseite kennt ausschließlich Produkt-Positionen — die UI kann Zwischenüberschriften/-summen anlegen"
"261";"Niedrig";"Invoice";"Position";"packagingUnit (VPE)";"In Create + Update ergänzen";"Im View, aber in keiner Create/Update-Klasse"
"262";"Niedrig";"Offer";"Position";"Intermediate-Positionen (heading, subtotal, groupTotal, image, pageBreak)";"In Create + Update ergänzen";"Nur lesbar! V3-Schreibseite kennt ausschließlich Produkt-Positionen — die UI kann Zwischenüberschriften/-summen anlegen"
"263";"Niedrig";"Offer";"Position";"packagingUnit (VPE)";"In Create + Update ergänzen";"Im View, aber in keiner Create/Update-Klasse"
"264";"Niedrig";"Production";"Kopf";"writeProtection";"In Update ergänzen (setzt neuen PATCH-Endpoint voraus)";"Keine set/removeWriteProtection-Actions (anders als alle Belege)"
"265";"Niedrig";"ProformaInvoice";"Position";"Intermediate-Positionen";"In Create + Update ergänzen";"Nur lesbar"
"266";"Niedrig";"PurchaseOrder";"Position";"Intermediate-Positionen (heading, subtotal …)";"In Create + Update ergänzen";"Nur lesbar — per API nicht anlegbar"
"267";"Niedrig";"PurchaseOrder";"Kopf";"supplierOfferNumber";"In Create + Update ergänzen";"Angebotsnummer des Lieferanten"
"268";"Niedrig";"ReturnOrder";"Position";"Intermediate-Positionen (heading, subtotal, groupTotal, image, pageBreak)";"In Create + Update ergänzen";"Nur lesbar! V3-Schreibseite kennt ausschließlich Produkt-Positionen — die UI kann Zwischenüberschriften/-summen anlegen"
"269";"Niedrig";"ReturnOrder";"Kopf";"isReturnOrderToSupplier";"In Update ergänzen";"Nur im Create — fehlt im Update (asymmetrisch)"
"270";"Niedrig";"ReturnOrder";"Position";"packagingUnit (VPE)";"In Create + Update ergänzen";"Im View, aber in keiner Create/Update-Klasse"
"271";"Niedrig";"ReturnOrder";"Kopf";"useAlternativeDocumentTitle";"In Create ergänzen";"Nur im Update — fehlt im Create (asymmetrisch)"
"272";"Niedrig";"SalesOrder";"Kopf";"deviatingDebtorAccountNumber";"In Create + Update ergänzen";"UI „Abw. Debitorennummer“"
"273";"Niedrig";"SalesOrder";"Kopf";"directDebitDate";"In Create + Update ergänzen";"Einzugsdatum (Lastschrift)"
"274";"Niedrig";"SalesOrder";"Position";"Intermediate-Positionen (heading, subtotal, groupTotal, image, pageBreak)";"In Create + Update ergänzen";"Nur lesbar! V3-Schreibseite kennt ausschließlich Produkt-Positionen — die UI kann Zwischenüberschriften/-summen anlegen"
"275";"Niedrig";"SalesOrder";"Kopf";"isSalesOrderToSupplier";"In Create + Update ergänzen";"UI „an Lieferanten“"
"276";"Niedrig";"SalesOrder";"Kopf";"offer";"In Create + Update ergänzen";"Angebots-Referenz — per UI verknüpfbar, API read-only"
"277";"Niedrig";"SalesOrder";"Position";"packagingUnit (VPE)";"In Create + Update ergänzen";"Im View, aber in keiner Create/Update-Klasse"
"278";"Niedrig";"SalesOrder";"Kopf";"useAlternativeDocumentTitle";"In Create + Update ergänzen";""
"279";"Niedrig";"Übergreifend";"Endpunkt";"Intermediate-Positionen";"heading/subtotal/groupTotal/image/pageBreak per API anlegbar machen";"UI kann Zwischenpositionen, API nur Produkt-Positionen"
